customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,snapshot_date,churn_next_60d,split,order_count,total_spend,avg_order_value,ticket_count,order_count_bin,return_rate,return_rate_bin,ticket_count_bin,session_count,session_bin,campaigns_received
CUST00001,2024-04-24,Tier 1,18-24,Instagram,Silver,Makeup,Normal,Yes,2025-09-30,1,train,6,2955.57,492.595,2.0,6-10,0.16666666666666666,11-25%,2,1,1-2,1
CUST00002,2025-06-01,Tier 2,25-34,Marketplace,Silver,Hair Care,Combination,Yes,2025-09-30,0,train,3,1713.1,571.0333333333333,1.0,3-5,0.0,0%,1,1,1-2,1
CUST00003,2025-03-08,Tier 1,25-34,Influencer,,Skin Care,Oily,Yes,2025-09-30,1,train,1,649.98,649.98,0.0,1,0.0,0%,0,1,1-2,1
CUST00004,2025-04-15,Tier 3,25-34,Google Search,,Fragrance,Normal,No,2025-09-30,1,train,1,1604.04,1604.04,0.0,1,0.0,0%,0,1,1-2,1
CUST00005,2024-08-21,Tier 3,35-44,Organic,Gold,Hair Care,Combination,Yes,2025-09-30,0,train,6,3910.43,651.7383333333333,1.0,6-10,0.0,0%,1,1,1-2,1
CUST00006,2024-09-30,Tier 2,35-44,Instagram,Silver,Baby Care,Dry,Yes,2025-09-30,0,validation,6,3987.46,664.5766666666667,2.0,6-10,0.16666666666666666,11-25%,2,1,1-2,1
CUST00007,2025-07-24,Tier 1,18-24,Organic,,Fragrance,Sensitive,Yes,2025-09-30,0,train,2,1219.9,609.95,0.0,2,0.0,0%,0,1,1-2,1
CUST00008,2024-11-18,Tier 2,18-24,Organic,Silver,Skin Care,Dry,Yes,2025-09-30,0,validation,6,3647.9900000000002,607.9983333333333,1.0,6-10,0.0,0%,1,1,1-2,1
CUST00009,2025-08-20,Tier 1,25-34,Influencer,,Skin Care,Oily,No,2025-09-30,0,train,2,803.99,401.995,0.0,2,0.5,26-50%,0,1,1-2,1
CUST00010,2025-09-02,Tier 1,18-24,Influencer,,Wellness,Oily,Yes,2025-09-30,0,train,2,1984.18,992.09,0.0,2,0.0,0%,0,1,1-2,1
